,0,1,2,3,4,5,6,7
0,Year,City,Sport,Discipline,NOC,Event,Event gender,Medal
1,1924,Chamonix,Skating,Figure skating,AUT,individual,M,Silver
2,1924,Chamonix,Skating,Figure skating,AUT,individual,W,Gold
3,1924,Chamonix,Skating,Figure skating,AUT,pairs,X,Gold
